Отчет Суммы по организациям;;;;;;;;;;;;;;;;
Без заявок: Нет;;;;;;;;;;;;;;;;
№;Название;ИНН;Менеджер;Всего кол-во;Всего сумма;ПРОФ кол-во;ПРОФ сумма;ЛМК кол-во;ЛМК сумма;Справки кол-во;Справки сумма;Лечение кол-во;Лечение сумма;Себестоимость;Маржинальность;Маржинальность %
193;"ООО УОД ""ТРАНСИНЖСТРОЯ""";5032261981;Боташева (1);25;42200;8;12000;17;30200;;;;;24610;17590; 41.68
194;"ООО ""ФАСАД СТРОЙ""";5044094414;Якубжанова Екатерина (3);1;79200;;;;;;;1;79200;#Н/Д;#Н/Д;
195;"ООО ""ФЕРРОМОНТ РАША""";7726682980;Якубжанова Екатерина (3);82;174800;74;162800;;;8;12000;;;#Н/Д;#Н/Д;
196;"ООО ""ФИОЛЕНТ""";7708403698;Якубжанова Екатерина (3);4;11200;;;4;11200;;;;;9280;1920; 17.14
197;"ООО ""ФИОРА""";5027239229;Якубжанова Екатерина (3);8;3000;4;3000;4;;;;;;8440;-5440;- 181.33
198;"ООО ""ФИТНЕС ДОМ""";7736538400;Якубжанова Екатерина (3);28;41400;;;;;;;28;41400;0;41400; 100.00
199;"ООО ""ФМ-ИНЖИНИРИНГ""";7728809907;Якубжанова Екатерина (3);25;55000;25;55000;;;;;;;0;55000; 100.00
200;"ООО ""ФМ-ЭСТЕЙТ""";7729681294;Якубжанова Екатерина (3);18;39600;18;39600;;;;;;;0;39600; 100.00
201;"ООО ""ФОРТЕЗА""";5027240150;Якубжанова Екатерина (3);8;;4;;4;;;;;;10800;-10800;
202;"ООО ""ФЭШН РЕБЕЛС""";7707456288;Боташева (1);1;3000;;;1;3000;;;;;2160;840; 28.00
203;"ООО ""ЦЕНТР ТЕРАПИИ БОЛИ ""ФАРМАТЕБ""";7707501332;Боташева (1);18;5400;;;;;;;18;5400;0;5400; 100.00
204;"ООО ""ЦКПЗ""";9727004879;Якубжанова Екатерина (3);2;;1;;1;;;;;;1990;-1990;
205;"ООО ""ЦСИ""";9729287823;Якубжанова Екатерина (3);5;18900;;;5;18900;;;;;11350;7550; 39.95
206;"ООО ""ЧЕТЫРЕ ПИВОВАРА МСК""";3300001988;Боташева (1);3;8300;;;3;8300;;;;;6380;1920; 23.13
207;"ООО ЧОО ""АГЕНТСТВО БЕЗОПАСНОСТИ ""СБП ""ПРЕЗИДЕНТ""";7703402370;Якубжанова Екатерина (3);8;18000;4;8800;3;7200;1;2000;;;4880;13120; 72.89
208;"ООО ЧОО ""МИГ-2003""";7725242151;Якубжанова Екатерина (3);5;14000;;;5;14000;;;;;10920;3080; 22.00
209;"ООО ""ШЕЛЛ МЕНЕДЖМЕНТ""";2312315634;Якубжанова Екатерина (3);2;4400;2;4400;;;;;;;0;4400; 100.00
210;"ООО ""ЭВЕНТ""";7716580242;Якубжанова Екатерина (3);4;23200;;;;;;;4;23200;0;23200; 100.00
211;"ООО ""ЭЙ-БИ-ТАЕРС""";7725499573;Боташева (1);6;8100;3;4500;;;3;3600;;;0;8100; 100.00
212;"ООО ""ЭКЛИПС""";7730668900;Якубжанова Екатерина (3);3;6600;3;6600;;;;;;;#Н/Д;#Н/Д;
213;"ООО ""ЭКСПЕДИЦИЯ ЗАВИДОВО""";6949108979;Якубжанова Екатерина (3);5;7100;;;3;5500;2;1600;;;2160;4940; 69.58
214;"ООО ""ЭКСПОЛАЙН""";7730187072;Боташева (1);1;2600;;;1;2600;;;;;2060;540; 20.77
215;"ООО ""ЭЛЕКТРООПТИМА""";1659161058;Якубжанова Екатерина (3);1;2200;1;2200;;;;;;;0;2200; 100.00
216;"ООО ""ЭЛИН""";5903080380;Якубжанова Екатерина (3);1;2200;1;2200;;;;;;;0;2200; 100.00
217;"ООО ""ЭНЕРГОСТРОЙМОНТАЖ""";7814492026;Якубжанова Екатерина (3);2;1600;;;;;;;2;1600;0;1600; 100.00
218;"ООО ""ЭНЕРТЕСТ""";7716741740;Якубжанова Екатерина (3);3;6000;3;6000;;;;;;;0;6000; 100.00
219;"ООО ""ЭСТЕТ КЛИНИК""";7716790899;Боташева (1);1;3500;;;1;3500;;;;;2180;1320; 37.71
220;"ООО ""ЯМСКОЕ ПОЛЕ""";7723786981;Якубжанова Екатерина (3);3;6200;2;4400;;;1;1800;;;0;6200; 100.00
221;Посольство Кубы в Москве;1008572229;Якубжанова Екатерина (3);114;106300;;;;;;;114;106300;20350;85950; 80.86
222;Посольство Якутии;;Якубжанова Екатерина (3);38;47500;;;;;;;38;47500;20900;26600; 56.00
223;Пост Кредит;;;270;24010797.06;;;;;;;270;24010797.06;#Н/Д;#Н/Д;
224;РНКБ БАНК (ПАО);7701105460;Якубжанова Екатерина (3);10;16900;;;;;1;2500;9;14400;#Н/Д;#Н/Д;
225;САО «ВСК»;7710026574;КостиковаА (911);1;2500;;;;;;;1;2500;0;2500; 100.00
226;"ТСЖ ""АНОХИНА""";7729428630;Якубжанова Екатерина (3);10;;5;;5;;;;;;6160;-6160;
227;ФГБУ ВНИИ ГОЧС (ФЦ);7731202277;Якубжанова Екатерина (3);4;6800;;;4;6800;;;;;4000;2800; 41.18
228;"ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗИНФОРМСЕРВИС"" В Г.МОСКВЕ";7838017968;Боташева (1);1;1800;1;1800;;;;;;;0;1800; 100.00
229;ФИЦ ИУ РАН;7736051896;Якубжанова Екатерина (3);5;;5;;;;;;;;0;0;
230;"ФОНД ""БАЙТИК""";5046055330;Боташева (1);11;26600;;;11;26600;;;;;21660;4940; 18.57
231;ФОНД ЮРИЯ И МАРИНЫ ШАМАРА;9725054088;Якубжанова Екатерина (3);1;2200;1;2200;;;;;;;0;2200; 100.00
232;ФХР;7704031008;Якубжанова Екатерина (3);2;4400;2;4400;;;;;;;0;4400; 100.00
233;Частное учреждение дополнительного образования  «Форс Ведда»;5260986828;Артемова (9);1;1700;;;1;1700;;;;;900;800; 47.06
234;"ЧУДО ""ДРАКОША""";7733332970;Якубжанова Екатерина (3);67;42200;;;66;40700;1;1500;;;53110;-10910;- 25.85
235;"эквипООО ""ЭТС""";7714643384;Боташева (1);4;10000;4;10000;;;;;;;0;10000; 100.00
236;Яндекс.Еда;;Якубжанова Екатерина (3);6;17440;;;6;17440;;;;;13200;4240; 24.31
;ИТОГО:;;;5137;32611767.06;2385;3944300;1566;3336195;634;785900;552;24545372.06;2034076.65;3020233.35;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Администратор __________________ Бурина А.;;;;;;;;;;;;;;;
