Отчет Суммы по организациям;;;;;;;;;;;;;;;;
Без заявок: Нет;;;;;;;;;;;;;;;;
№;Название;ИНН;Менеджер;Всего кол-во;Всего сумма;ПРОФ кол-во;ПРОФ сумма;ЛМК кол-во;ЛМК сумма;Справки кол-во;Справки сумма;Лечение кол-во;Лечение сумма;Себестоимость;Маржинальность;Маржинальность %
46;"ООО ""АКАДЕМОПТИКА""";7736327505;Боташева (1);10;15800;1;2000;9;13800;;;;;16160;-360;- 2.28
47;"ООО ""АЛЬФАФАРМ""";7708311020;Якубжанова Екатерина (3);21;;10;;11;;;;;;17830;-17830;
48;"ООО ""АЛЬЯНС""";7604285908;Якубжанова Екатерина (3);1;1600;;;1;1600;;;;;1000;600; 37.50
49;"ООО ""АЛЬЯНССТАФИНВЕСТ""";5905048544;Боташева (1);3;6000;3;6000;;;;;;;#Н/Д;#Н/Д;
50;"ООО ""АНТИКОРСЕРВИС""";7715593802;Боташева (1);8;16400;7;15400;;;1;1000;;;0;16400; 100.00
51;"ООО ""АПХ ЭКО-КУЛЬТУРА""";2609024001;Якубжанова Екатерина (3);2;4000;1;2500;;;1;1500;;;0;4000; 100.00
52;"ООО ""АСПАСВИТ""";7707276006;Боташева (1);6;11700;;;6;11700;;;;;12480;-780;- 6.67
53;"ООО ""АССЕМРУС""";7724609706;Якубжанова Екатерина (3);5;11000;;;;;;;5;11000;#Н/Д;#Н/Д;
54;"ООО ""АСТОРИЯ""";5017111580;Якубжанова Екатерина (3);4;6000;1;2200;3;3800;;;;;6190;-190;- 3.17
55;"ООО ""АТЕХ""";5032306992;Боташева (1);17;30600;17;30600;;;;;;;0;30600; 100.00
56;"ООО ""АЭРОПЛАН КОФЕ""";9705207392;Якубжанова Екатерина (3);1;2800;;;1;2800;;;;;2160;640; 22.86
57;"ООО ""БАЗОН""";7725766758;Якубжанова Екатерина (3);3;;1;;2;;;;;;900;-900;
58;"ООО ""БЕСТ""";7731384891;Якубжанова Екатерина (3);32;68100;6;13200;26;54900;;;;;48600;19500; 28.63
59;ООО Бирюлево ритейл;7723484719;Боташева (1);168;243000;15;;153;243000;;;;;311933.33;-68933.33;- 28.37
60;"ООО ""БК РУС""";7751169155;Боташева (1);9;19800;9;19800;;;;;;;0;19800; 100.00
61;"ООО ""БОМББАР""";6320026672;Якубжанова Екатерина (3);2;4600;1;1800;1;2800;;;;;2160;2440; 53.04
62;"ООО ""БЬЮТИЛОГИЯ""";7751144496;Якубжанова Екатерина (3);2;;1;;1;;;;;;2180;-2180;
63;"ООО ""ВАБ-ГРУПП""";5029228430;Якубжанова Екатерина (3);2;4400;2;4400;;;;;;;0;4400; 100.00
